Text,Sentiment,Source,Date
I'm undecided about what to do.,Neutral,Personal Opinion,2007-02-14
The service at the restaurant was phenomenal!,Positive,Restaurant Review,2007-01-29
The movie was a letdown.,Negative,Movie Review,2006-12-14
I'm feeling quite optimistic about it.,Positive,Social Media,2006-11-27
The new update caused a lot of problems.,Negative,Software Review,2006-10-12
I don't really have any strong feelings.,Neutral,Personal Opinion,2006-09-25
The customer support was exceptional!,Positive,User Review,2006-08-10
The food at the restaurant was superb.,Positive,Restaurant Review,2006-07-23
I found the whole experience to be disappointing.,Negative,User Review,2006-06-08
I'm neither thrilled nor disappointed.,Neutral,Social Media,2006-05-21
The book was captivating!,Positive,Book Review,2006-04-05
The product didn't live up to its claims.,Negative,Online Store Review,2006-03-19
I'm feeling indifferent about the situation.,Neutral,Personal Opinion,2006-02-28
The concert was absolutely amazing!,Positive,Concert Review,2006-01-13
The service at the restaurant was atrocious.,Negative,Restaurant Review,2005-12-26
I'm feeling pretty good about everything.,Positive,Social Media,2005-11-11
The new feature is neither helpful nor intuitive.,Neutral,Product Review,2005-10-24
I absolutely hated the movie!,Negative,Movie Review,2005-09-09
I'm feeling indifferent about the whole thing.,Neutral,Personal Opinion,2005-08-22
The customer service was outstanding!,Positive,User Review,2005-07-07
The food at the restaurant was terrible.,Negative,Restaurant Review,2005-06-20
I'm not sure how I feel about this.,Neutral,Product Review,2005-05-05
I absolutely loved the play!,Positive,Theater Review,2005-04-18
The product didn't meet my expectations.,Negative,Online Store Review,2005-03-03
I'm undecided about what to do.,Neutral,Personal Opinion,2005-02-14
The service at the restaurant was phenomenal!,Positive,Restaurant Review,2005-01-29
The movie was a letdown.,Negative,Movie Review,2004-12-14
I'm feeling quite optimistic about it.,Positive,Social Media,2004-11-27
The new update caused a lot of problems.,Negative,Software Review,2004-10-12
I don't really have any strong feelings.,Neutral,Personal Opinion,2004-09-25
The customer support was exceptional!,Positive,User Review,2004-08-10
The food at the restaurant was superb.,Positive,Restaurant Review,2004-07-23
I found the whole experience to be disappointing.,Negative,User Review,2004-06-08
I'm neither thrilled nor disappointed.,Neutral,Social Media,2004-05-21
The book was captivating!,Positive,Book Review,2004-04-05
The product didn't live up to its claims.,Negative,Online Store Review,2004-03-19
I'm feeling indifferent about the situation.,Neutral,Personal Opinion,2004-02-28
The concert was absolutely amazing!,Positive,Concert Review,2004-01-13
The service at the restaurant was atrocious.,Negative,Restaurant Review,2003-12-26
I'm feeling pretty good about everything.,Positive,Social Media,2003-11-11
The new feature is neither helpful nor intuitive.,Neutral,Product Review,2003-10-24
I absolutely hated the movie!,Negative,Movie Review,2003-09-09
I'm feeling indifferent about the whole thing.,Neutral,Personal Opinion,2003-08-22
The customer service was outstanding!,Positive,User Review,2003-07-07
The food at the restaurant was terrible.,Negative,Restaurant Review,2003-06-20
I'm not sure how I feel about this.,Neutral,Product Review,2003-05-05
I absolutely loved the play!,Positive,Theater Review,2003-04-18
The product didn't meet my expectations.,Negative,Online Store Review,2003-03-03
I'm undecided about what to do.,Neutral,Personal Opinion,2003-02-14
The service at the restaurant was phenomenal!,Positive,Restaurant Review,2003-01-29
The movie was a letdown.,Negative,Movie Review,2002-12-14
I'm feeling quite optimistic about it.,Positive,Social Media,2002-11-27
The new update caused a lot of problems.,Negative,Software Review,2002-10-12
I don't really have any strong feelings.,Neutral,Personal Opinion,2002-09-25
The customer support was exceptional!,Positive,User Review,2002-08-10
The food at the restaurant was superb.,Positive,Restaurant Review,2002-07-23
I found the whole experience to be disappointing.,Negative,User Review,2002-06-08
I'm neither thrilled nor disappointed.,Neutral,Social Media,2002-05-21
The book was captivating!,Positive,Book Review,2002-04-05
The product didn't live up to its claims.,Negative,Online Store Review,2002-03-19
I'm feeling indifferent about the situation.,Neutral,Personal Opinion,2002-02-28
The concert was absolutely amazing!,Positive,Concert Review,2002-01-13
The service at the restaurant was atrocious.,Negative,Restaurant Review,2001-12-26
I'm feeling pretty good about everything.,Positive,Social Media,2001-11-11
The new feature is neither helpful nor intuitive.,Neutral,Product Review,2001-10-24
I absolutely hated the movie!,Negative,Movie Review,2001-09-09
I'm feeling indifferent about the whole thing.,Neutral,Personal Opinion,2001-08-22
The customer service was outstanding!,Positive,User Review,2001-07-07
The food at the restaurant was terrible.,Negative,Restaurant Review,2001-06-20
I'm not sure how I feel about this.,Neutral,Product Review,2001-05-05
I absolutely loved the play!,Positive,Theater Review,2001-04-18
The product didn't meet my expectations.,Negative,Online Store Review,2001-03-03
I'm undecided about what to do.,Neutral,Personal Opinion,2001-02-14
The service at the restaurant was phenomenal!,Positive,Restaurant Review,2001-01-29
The movie was a letdown.,Negative,Movie Review,2000-12-14
I'm feeling quite optimistic about it.,Positive,Social Media,2000-11-27
The new update caused a lot of problems.,Negative,Software Review,2000-10-12
I don't really have any strong feelings.,Neutral,Personal Opinion,2000-09-25
The customer support was exceptional!,Positive,User Review,2000-08-10
The food at the restaurant was superb.,Positive,Restaurant Review,2000-07-23
I found the whole experience to be disappointing.,Negative,User Review,2000-06-08
I'm neither thrilled nor disappointed.,Neutral,Social Media,2000-05-21
The book was captivating!,Positive,Book Review,2000-04-05
The product didn't live up to its claims.,Negative,Online Store Review,2000-03-19
I'm feeling indifferent about the situation.,Neutral,Personal Opinion,2000-02-28
The concert was absolutely amazing!,Positive,Concert Review,2000-01-13
The service at the restaurant was atrocious.,Negative,Restaurant Review,1999-12-26
I'm feeling pretty good about everything.,Positive,Social Media,1999-11-11
The new feature is neither helpful nor intuitive.,Neutral,Product Review,1999-10-24
I absolutely hated the movie!,Negative,Movie Review,1999-09-09
I'm feeling indifferent about the whole thing.,Neutral,Personal Opinion,1999-08-22
The customer service was outstanding!,Positive,User Review,1999-07-07
The food at the restaurant was terrible.,Negative,Restaurant Review,1999-06-20
I'm not sure how I feel about this.,Neutral,Product Review,1999-05-05
I absolutely loved the play!,Positive,Theater Review,1999-04-18
The product didn't meet my expectations.,Negative,Online Store Review,1999-03-03
I'm undecided about what to do.,Neutral,Personal Opinion,1999-02-14
The service at the restaurant was phenomenal!,Positive,Restaurant Review,1999-01-29
The movie was a letdown.,Negative,Movie Review,1998-12-14
I'm feeling quite optimistic about it.,Positive,Social Media,1998-11-27
The new update caused a lot of problems.,Negative,Software Review,1998-10-12
"I don
",,,
